SKU,DESCRIPCION,CANTIDAD,FALTANTE,MODELOS,IMAGEN,UBICADO EN
BC.MA.SS000225.01,ESC BOAR MODULE,1,,MINI SE,,
BC.MA.SS000230.02,REAR LEFT AIRCRAFT MODULE ARM,4,,MINI SE,,
BC.PF.SS000049.01,GIMBAL AND CAMERA ,3,2,NEO,INVENTARIO_Images/BC.PF.SS000049.01.IMAGEN.185222.jpg,
YC.SJ.D00253.02,GIMBEL PROTECTIC BRACKET,4,,PHANTOM 4PRO V2,,
BC.PT.SS000160.02,LEFT LANDING GEAR,1,,PHANTOM 4PRO V2,,
CP.PT.S00076,MIDDLE SHELL,3,,PHANTOM 4PRO V2,,
YC.SJ.GG000036.01,PRESS DOWN CCW,6,,PHANTOM 4PRO V2,,
YC.SJ.GG000037.01,PRESS DOWN CW,6,,PHANTOM 4PRO V2,,
353.02,PROTECTION ,6,,PHANTOM 4PRO V2,,
CP.PT.S00073,QUICK RELEASE PROPELLER MOUNTING PLATE CCW,6,,PHANTOM 4PRO V2,,
YC.DZ.AA000253.04,EXTERNAL RC ANTENNA,5,,RC PLUS,INVENTARIO_Images/YC.DZ.AA000253.04.IMAGEN.165734.jpg,
YC.DZ.AA000414.06,EXTERNAL SDR ANTENNA,4,,RC PLUS,,
YC.DZ.AF000066.01,FAN,2,,RC PLUS,,
BC.AG.SS000586.01,LEFT CONTROL STICK MODULE,2,,RC PLUS,,
BC.AG.SS000595.01,REMOTE CONTROLLER UPPER SHELL MODULE,1,,RC PLUS,,
BC.AG.SS000585.01,RIGHT CONTROL STICK MODULE,6,,RC PLUS,,
BC.RC.SS000020.01,RIGHT CONTROL STICK MODULE,2,,RC PLUS,,
BC.RC.SS000084.01,CONTROL STICK MODULE (RIGHT),2,,RC PRO 2,,
YC.SJ.WS001862.03,T30 ANTENNA LEFT SLEEVE,2,,RC PRO 2,,
YC.SJ.WS001857.03,T30 ANTENNA RIGHT SLEEVE,2,,RC PRO 2,,
BC.MA.SS000070.01,T30 LEFT CONTROL STICK MODULE,2,,RC PRO 2,,
YC.DZ.AA000084.03,VIDEO DOWNLINK ANTENNA (RIGHT) (LONG),,,RC PRO 2,,
BC.PF.SS000047.01,PROPULSION MOTOR FRONT,2,,NEO,INVENTARIO_Images/BC.PF.SS000047.01.IMAGEN.193120.jpg,
BC.PF.SS000048.01,PROPULSIÓN MOTOR REAR,2,3,NEO,INVENTARIO_Images/BC.PF.SS000048.01.IMAGEN.193241.jpg,
BC.PF.SS000045.01,MAIN BODY,2,3,NEO,INVENTARIO_Images/BC.PF.SS000045.01.IMAGEN.193346.jpg,
YC.JG.ZS005828.05,LOWER COVER,2,3,NEO,INVENTARIO_Images/YC.JG.ZS005828.05.IMAGEN.193451.jpg,
YC.DZ.AA000246.05,ADS - B ANTENNA RIGHT,4,1,"M30 , M30T",INVENTARIO_Images/YC.DZ.AA000246.05.IMAGEN.142143.jpg,CAJA M30T
YC.JG.MY001192.02,RUBBER DAMPERS,20,0,MATRICE 350 RTK,,CAJA M350
BC.EN.SS000513.01,FRAME ARM MODULE (M3),1,4,"M30 , M30T",,CAJA M30T
